seq,timeFirstCommit,timePropagation,timeToPropagate
0,250,333,83
1,786,849,63
2,688,750,62
3,587,649,62
4,961,1057,96
5,871,968,97
6,777,875,98
7,678,775,97
8,578,676,98
9,925,1021,96
10,834,931,97
11,738,835,97
12,639,735,96
13,539,635,96
14,439,534,95
15,339,437,98
16,748,857,109
17,649,758,109
18,549,659,110
19,914,1085,171
20,815,986,171
21,719,886,167
22,619,786,167
23,519,686,167
24,419,586,167
25,839,922,83
26,741,823,82
27,642,724,82
28,541,623,82
29,443,524,81
30,341,421,80
31,870,1054,184
32,770,954,184
33,671,854,183
34,1120,1308,188
35,1020,1207,187
36,913,1100,187
37,821,1009,188
38,721,909,188
39,621,809,188
40,519,707,188
41,421,609,188
42,847,957,110
43,748,859,111
44,649,762,113
45,549,660,111
46,450,562,112
47,350,462,112
48,789,849,60
49,692,749,57
50,588,647,59
51,492,548,56
52,868,1065,197
53,770,966,196
54,672,867,195
55,573,767,194
56,1002,1204,202
57,920,1122,202
58,834,1036,202
59,735,937,202
60,634,836,202
61,536,737,201
62,436,637,201
63,972,1153,181
64,872,1054,182
65,773,954,181
66,674,855,181
67,575,756,181
68,997,1216,219
69,899,1118,219
70,800,1018,218
71,701,919,218
72,601,819,218
73,501,719,218
74,402,621,219
75,850,1026,176
76,752,927,175
77,653,828,175
78,529,703,174
79,452,625,173
80,869,1052,183
81,770,952,182
82,671,853,182
83,570,752,182
84,472,653,181
85,958,1006,48
86,859,907,48
87,753,801,48
88,660,707,47
89,555,602,47
90,461,507,46
91,910,978,68
92,811,879,68
93,712,779,67
94,611,679,68
95,1062,1098,36
96,966,1003,37
97,866,904,38
98,768,804,36
99,668,704,36
